#pH 	 	< Q > 	 	std(Q) 	 		  < C > 	 Rg [Amstrong] 	 std(Rg) 
2.000000         13.674          0.00692820323028        0.71174         20.63699        0.04091
2.500000         12.891          0.00640312423743        0.657769        20.13557        0.04239
3.000000         12.266          0.00469041575982        0.455092        19.56493        0.04242
3.500000         11.788          0.00761577310586        0.45142         19.20424        0.04136
4.000000         11.169          0.00721110255093        0.703352        18.90579        0.04389
4.500000         10.167          0.00721110255093        1.02913         18.32828        0.04479
5.000000         8.853   	0.00714142842854        1.23139         17.52297        0.04384
5.500000         7.447   	0.00707106781187        1.178687        16.64951        0.04380
6.000000         6.252   	0.0636631761696         0.911478        15.97367        0.04232
6.500000         5.416   	0.0637024332345         0.626389        15.57794        0.04066
7.000000         4.837   	0.0637024332345         0.50958         15.33217        0.04011
7.500000         4.278   	0.0895321171424         0.555324        15.05957        0.04106
8.000000         3.69    	0.0895823643358         0.581752        14.87000        0.04113
8.500000         3.112   	0.089554452709          0.584254        14.62986        0.03784
9.000000         2.501   	0.089554452709          0.70276         14.56899        0.04007
9.500000         1.729   	0.0895377015564         0.890486        14.47990        0.03859
10.00000         0.826   	0.0895879456177         0.952328        14.38085        0.03748
10.50000         -0.115          0.0634428877022         0.902171        14.47151        0.03768
11.00000         -0.946          0.0634428877022         0.797907        14.49776        0.03693
11.50000         -1.654          0.0634428877022         0.679256        14.72057        0.03761
12.00000         -2.275          0.00721110255093        0.675003        14.86251        0.03809

