pH,charge,charge_error
2.0,13.674,0.00692820323028
2.5,12.891,0.00640312423743
3.0,12.266,0.00469041575982
3.5,11.788,0.00761577310586
4.0,11.169,0.00721110255093
4.5,10.167,0.00721110255093
5.0,8.853,0.00714142842854
5.5,7.447,0.00707106781187
6.0,6.252,0.0636631761696
6.5,5.416,0.0637024332345
7.0,4.837,0.0637024332345
7.5,4.278,0.0895321171424
8.0,3.69,0.0895823643358
8.5,3.112,0.089554452709
9.0,2.501,0.089554452709
9.5,1.729,0.0895377015564
10.0,0.826,0.0895879456177
10.5,-0.115,0.0634428877022
11.0,-0.946,0.0634428877022
11.5,-1.654,0.0634428877022
12.0,-2.275,0.00721110255093
